,mz,mzmin,mzmax,rt,rtmin,rtmax,npeaks,mzXML,X3.15V,X3.30V,X3.45V,RSD
549,81.04764321,81.04631311,81.0490777,46.294,45.549,47.009,6,3,6358.514554,5655.427448,3523.339733,0.285067033
550,81.0570444,81.0570444,81.0570444,1393.72,1393.72,1393.72,1,1,9538.022686,9764.558,10947.38125,0.075056859
551,81.05543821,81.05543821,81.05543821,1731.89,1731.89,1731.89,1,1,6036.828281,5908.573548,6057.429216,0.01344044
552,81.05520394,81.05520394,81.05520394,109.065,109.065,109.065,1,1,2335.904615,2293.547586,2475.528033,0.040207304
554,81.05653364,81.05653364,81.05653364,962.93,962.93,962.93,1,1,5714.026094,4132.390222,5514.337641,0.168218179
555,81.05672352,81.05672352,81.05672352,1547.89,1547.89,1547.89,1,1,5250.013458,2952.622286,5111.522936,0.290281118
557,81.93468971,81.93467655,81.93470287,1775.27,1773.46,1777.08,2,1,5485.176087,6976.563043,7055.086912,0.135973792
558,81.93871138,81.93581492,81.94164221,37.35,25.787,38.08,15,3,4673.781,3890.252125,2276.857304,0.338211271
559,81.93774999,81.93586983,81.94028781,1795.125,1789.54,1799.19,12,3,1301.173333,2201.413043,1952.594444,0.255655325
560,81.93894637,81.93587179,81.94097761,1133.4,1130.76,1133.61,5,2,8801.036392,13314.08,16691.125,0.306032014
562,81.93774173,81.93773615,81.93774732,652.713,652.2,653.226,2,2,3121.711053,2860.783636,4719.237962,0.282052479
564,81.93789739,81.93648173,81.93931306,302.9255,301.838,304.013,2,2,3143.42592,4148.6739,2462.9408,0.260808065
565,81.93775946,81.93773912,81.9377798,505.884,504.099,507.669,2,1,1511.9,1400.092355,1458.395691,0.038386284
566,81.93830859,81.93784306,81.93877412,441.9845,440.269,443.7,2,2,1681.221333,2311.9844,2963.448571,0.27648699
567,81.93849052,81.93606384,81.94091719,1085.6,1083.53,1087.67,2,1,4225.627075,5111.021739,8206.726875,0.357453513
568,81.93767083,81.93767083,81.93767083,519.2,519.2,519.2,1,1,2766.498429,2319.110357,2533.799427,0.088099143
569,81.94029086,81.94029086,81.94029086,1174.04,1174.04,1174.04,1,1,4722.65564,5405.597273,4524.177124,0.094667145
570,81.93706771,81.93706771,81.93706771,531.409,531.409,531.409,1,1,1064.937575,1829.807059,1303.317885,0.279681831
571,81.94033987,81.94033987,81.94033987,1161.78,1161.78,1161.78,1,1,7790.652805,9120.967333,8556.141591,0.07864941
572,81.94035213,81.94035213,81.94035213,1189.03,1189.03,1189.03,1,1,3982.609,4805.08875,3970.774155,0.112469253
573,81.94040015,81.94040015,81.94040015,1204.67,1204.67,1204.67,1,1,5096.46698,5346.152609,4601.64411,0.07556117
574,81.93899078,81.93899078,81.93899078,1030.8,1030.8,1030.8,1,1,3247.747879,3844.646667,4232.568254,0.13141548
575,81.9389522,81.9389522,81.9389522,1047.14,1047.14,1047.14,1,1,2822.980294,3798.1672,4504.6702,0.227690595
576,81.93760881,81.93760881,81.93760881,634.078,634.078,634.078,1,1,2088.426208,1989.022152,1990.569474,0.02815559
577,81.93900706,81.93900706,81.93900706,106.352,106.352,106.352,1,1,2047.78359,2207.968636,2327.364071,0.063929579
578,81.93662627,81.93662627,81.93662627,1306.24,1306.24,1306.24,1,1,2201.651626,3135.359524,2182.584659,0.217297892
579,81.93790194,81.93790194,81.93790194,709.408,709.408,709.408,1,1,4193.218619,3317.174465,3964.069931,0.118781849
580,81.93665082,81.93665082,81.93665082,1329.29,1329.29,1329.29,1,1,8652.154123,12058.02759,8530.259306,0.205451518
581,81.93904485,81.93904485,81.93904485,952.766,952.766,952.766,1,1,3730.944796,3103.321222,3859.484836,0.113506141
582,81.93875641,81.93875641,81.93875641,133.094,133.094,133.094,1,1,3379.887799,3363.204308,4331.522481,0.150155678
583,81.93905897,81.93905897,81.93905897,556.804,556.804,556.804,1,1,2269.432385,3033.363704,2884.3836,0.148387757
585,81.94549877,81.94539529,81.94607019,1743.55,1743.21,1743.6,4,3,4486.3,5473.873714,3787.834286,0.1848575
586,82.94007851,82.93882435,82.9434397,1743.55,1743.21,1744.54,5,3,2679.929412,3304.21,2556.72,0.14076779
587,82.94452482,82.94452482,82.94452482,1786.42,1786.42,1786.42,1,1,589.317627,664.4071429,680.8055172,0.075647451
588,82.94435956,82.94435956,82.94435956,504.301,504.301,504.301,1,1,1223.533548,1357.588435,1564.519789,0.124313319
589,82.94424943,82.94424943,82.94424943,588.546,588.546,588.546,1,1,2763.902632,2728.835735,2628.758508,0.025905223
590,82.94429579,82.94429579,82.94429579,956.613,956.613,956.613,1,1,2354.745684,4108.840179,4355.935369,0.30252947
592,82.94526731,82.94526731,82.94526731,520.02,520.02,520.02,1,1,2085.879829,2219.151579,2204.382883,0.033669059
593,82.94558227,82.94558227,82.94558227,27.228,27.228,27.228,1,1,690.1813333,723.104,737.5146999,0.033842079
594,82.9451041,82.9451041,82.9451041,1384.04,1384.04,1384.04,1,1,2151.525691,3115.636364,2476.428445,0.190035792
595,82.94587871,82.94587871,82.94587871,378.669,378.669,378.669,1,1,3552.158722,3877.18625,3108.201548,0.109899043
596,82.94581271,82.94581271,82.94581271,1786.62,1786.62,1786.62,1,1,578.9175576,664.4071429,715.6607143,0.1057928
598,82.99831515,82.99708254,82.99835992,1780.58,1771.65,1780.58,3,2,1340.877388,1222.193548,2334.370909,0.374120576
599,82.99697207,82.99691265,82.9970315,1357.03,1355.24,1358.82,2,2,2571.393793,3411.425,2991.375,0.140407801
600,82.99732151,82.99622036,82.99842266,1084.645,1081.83,1087.46,2,1,2767.721368,2934,2833.572791,0.029431784
601,82.9983668,82.9983668,82.9983668,1185.32,1185.32,1185.32,1,1,3338.102582,3064.04878,3184.514237,0.042984739
602,82.99642475,82.99642475,82.99642475,39.149,39.149,39.149,1,1,3463.657251,5255.253685,4401.027722,0.204906379
603,83.00034384,82.99514676,83.00503248,1743.55,1741.29,1744.45,14,3,7029.75,6544.358667,7001.451429,0.039722767
604,83.06002317,83.05819848,83.06327049,1362.12,1353.44,1373.48,11,3,9229.124118,16396.92718,11036.40857,0.305036597
607,83.06262846,83.05835979,83.06331847,1316.39,1310.17,1320.84,6,3,10789.57333,16434.741,9314.427826,0.308562769
608,83.0594928,83.05886156,83.06203262,1733.73,1728.33,1735.42,5,3,8999.186842,8604.385932,9754.293421,0.064071447
613,83.06075295,83.05948761,83.06201829,1558.28,1557.53,1559.03,2,2,8221.282188,4105.331875,7165.16,0.329018245
614,83.06065955,83.06005949,83.06125962,42.644,41.859,43.429,2,2,2286.330455,1417.363756,2043.846335,0.234048589
615,83.05946541,83.05945553,83.05947529,1462.885,1460.94,1464.83,2,1,5832.242143,8420.883721,7565.499107,0.181344585
616,83.06081074,83.05957448,83.062047,1571.215,1568.43,1574,2,2,7760.728889,9927.111026,4498.231066,0.369531899
621,83.0595067,83.0595067,83.0595067,1713.06,1713.06,1713.06,1,1,5584.571379,3428.184167,3457.139105,0.297528635
623,83.06022251,83.06022251,83.06022251,1256.92,1256.92,1256.92,1,1,5365.905355,6377.331389,9612.345,0.311599255
624,83.08446092,83.08434619,83.0845006,94.836,94.531,95.226,3,3,2029.91,1885.809852,2185.404186,0.073674919
625,83.08700748,83.08564111,83.0882056,93.936,93.661,94.426,5,3,1538.924838,1978.912,2182.417561,0.173102183
626,83.49652322,83.49652322,83.49652322,1743.21,1743.21,1743.21,1,1,1751.82,1852.530357,1715.571182,0.040017243
629,83.94022951,83.94022951,83.94022951,29.075,29.075,29.075,1,1,632.5194677,801.846,764.6277514,0.12139783
630,83.99428356,83.99428356,83.99428356,1744.54,1744.54,1744.54,1,1,11322.86021,8857.912,7995.805625,0.18384178
631,83.99462041,83.99462041,83.99462041,933.039,933.039,933.039,1,1,8727.531717,8638.02368,4698.439,0.312834696
633,83.99557911,83.99521782,83.99586388,1361.19,1359.26,1361.19,5,1,14959.53938,10811.73121,10432.7454,0.208095809
634,83.99536069,83.99528379,84.00036988,1130.805,1127.51,1135.28,4,2,16004.29737,11692.97907,18159.28333,0.215401894
635,83.9953938,83.9952504,83.99558932,1103.76,1103.57,1103.76,3,1,7753.335804,7828.735484,12288.15448,0.279511886
636,83.99833187,83.99703949,83.99839883,509.142,505.605,509.339,3,1,2166.111943,2518.012931,2193.31868,0.085405007
637,83.99524787,83.99523866,83.9955112,1087.67,1083.53,1088.06,3,1,5605.607178,5375.6,9674.854839,0.351254913
638,83.99708937,83.99578865,83.99839009,452.9015,452.8,453.003,2,1,2593.9568,2057.397429,2120.089483,0.129971337
639,83.99694833,83.9954024,83.99849426,1250.13,1248.15,1252.11,2,2,6768.155969,9283.925333,9555.81,0.180060525
641,84.0008931,84.0008931,84.0008931,640.415,640.415,640.415,1,1,3476.183575,3393.651192,2840.435,0.106803335
642,83.99724363,83.99724363,83.99724363,355.095,355.095,355.095,1,1,3796.855545,2975.94,3078.055038,0.136252388
643,84.00027969,84.00027969,84.00027969,865.047,865.047,865.047,1,1,5000.968689,7056.72765,5293.18337,0.192297469
644,83.99712258,83.99712258,83.99712258,36.238,36.238,36.238,1,1,3669.711146,2149.378636,4359.576937,0.333286396
645,83.99859271,83.99859271,83.99859271,1423.17,1423.17,1423.17,1,1,5250.985421,4345.530811,4078.575462,0.134807045
646,83.99999872,83.99999872,83.99999872,712.948,712.948,712.948,1,1,8983.224581,7620.694,9120.802826,0.096704365
647,84.00168131,84.00168131,84.00168131,1212.07,1212.07,1212.07,1,1,6533.597118,4551.3875,7125.320412,0.222090374
649,84.0436213,84.04168987,84.04505501,48.114,47.369,49.014,7,3,5330.63025,6594.863673,7440.31248,0.164477445
650,84.04578467,84.04524288,84.04632646,66.238,65.803,66.673,2,1,3292.18394,3519.1026,3343.547286,0.035152349
651,84.04752837,84.04552935,84.04907452,48.084,46.459,49.014,8,3,8284.619444,7687.675464,7354.57578,0.060601963
652,84.08126134,84.07849212,84.08406502,52.249,50.989,53.464,13,3,15932.41449,18273.1863,10792.67631,0.255112
654,84.49828855,84.49828855,84.49828855,1744.54,1744.54,1744.54,1,1,1197.984368,1045.0715,1376.664194,0.137549133
658,84.95976958,84.95913844,84.96040071,465.5375,464.37,466.705,2,1,2349.325865,2158.562833,2284.113647,0.042826356
659,84.95911481,84.95911481,84.95911481,1152.5,1152.5,1152.5,1,1,4770.483643,5294.218065,5307.792426,0.059789643
660,84.96049303,84.96049303,84.96049303,528.635,528.635,528.635,1,1,2895.252671,3054.670836,3201.949518,0.050281006
661,84.960374,84.960374,84.960374,596.58,596.58,596.58,1,1,3577.636196,3010.009955,3969.261985,0.137059876
662,84.96040536,84.96040536,84.96040536,325.775,325.775,325.775,1,1,3229.002614,3179.018791,3209.267171,0.007853201
663,84.95927521,84.95927521,84.95927521,1048.52,1048.52,1048.52,1,1,3283.232381,6459.415385,6599.756015,0.344306027
664,84.95890669,84.95890669,84.95890669,503.48,503.48,503.48,1,1,2218.544526,2254.214933,2689.936425,0.10993113
665,84.95922455,84.95730151,84.96248541,1743.6,1742.65,1744.16,8,3,7296.35375,15911.12964,13945.61025,0.364541142
666,84.96562116,84.96553122,84.9668627,38.96,38.08,39.874,5,3,1800.960804,3256.521333,2962.940148,0.287919305
667,84.99308566,84.99262153,84.99363926,1743.405,1742.65,1743.6,4,3,3746.385135,4767.12625,4803.845217,0.135208335
668,84.99423314,84.99414219,84.99432408,780.3955,780.395,780.396,2,2,2865.309526,3657.112875,4049.1875,0.171141749
669,84.99393364,84.99393364,84.99393364,1105.96,1105.96,1105.96,1,1,4050.087097,5411.530435,5108.047483,0.147165134
670,84.99367876,84.99367876,84.99367876,1390.66,1390.66,1390.66,1,1,4343.984607,7610.894688,4155.268359,0.361807058
671,84.99829073,84.99829073,84.99829073,1236.58,1236.58,1236.58,1,1,2343.612379,1367.943704,2408.943156,0.285799067
672,84.99567656,84.99567656,84.99567656,1250.6,1250.6,1250.6,1,1,2357.486441,2247.762963,2576.804657,0.069980739
673,84.99575454,84.99575454,84.99575454,1215.14,1215.14,1215.14,1,1,3574.053177,3246.930909,4138.096945,0.123404883
674,84.9968856,84.9968856,84.9968856,870.733,870.733,870.733,1,1,3048.951104,2896.527833,3215.672973,0.052272666
676,84.99667986,84.99667986,84.99667986,1097.86,1097.86,1097.86,1,1,2209.177778,2734.642857,2864.312764,0.133292589
677,84.99567625,84.99567625,84.99567625,1388.69,1388.69,1388.69,1,1,4076.206462,4978.777037,3861.361038,0.137716692
678,85.0282203,85.0267791,85.03196365,51.879,50.509,53.659,12,3,3482.817333,6387.583871,6519.910517,0.314187328
681,85.92918483,85.92724784,85.93322153,1752.67,1743.21,1761.44,15,3,14251.2725,20299.56522,15237.57077,0.195524757
682,85.92907492,85.92907492,85.92907492,34.599,34.599,34.599,1,1,1317.299807,1311.950857,1733.20715,0.166202036
683,85.93911273,85.93887207,85.9395568,1320.84,1312.33,1321.73,16,1,5442.853043,3911.058,4177.722965,0.181427709
684,85.93923637,85.9391694,85.94287879,1259.96,1256.95,1266.92,12,1,20694.24385,17177.63141,15889.39713,0.13878328
685,85.93905946,85.93892837,85.93960576,1248.66,1237.42,1248.66,11,2,7759.68,6672.375,5242.383604,0.192513211
686,85.93945655,85.93885862,85.93951671,1295.42,1292.67,1296.28,11,1,8527.402667,6420.133448,5833.786987,0.204495991
687,85.93929563,85.93888669,85.93952754,1340.99,1340.05,1343.31,11,1,9010.951818,7098.640714,7045.432094,0.145076429
688,85.93898808,85.9388913,85.94283092,1185.08,1175.87,1185.48,13,1,10953.03143,6959.391613,6269.465743,0.313689552
689,85.93911765,85.93896447,85.94287898,1220.94,1199.14,1233.68,14,2,15426.28304,10112.67308,8505.303046,0.319182384
690,85.93922127,85.93888762,85.94421896,1130.37,1116.92,1140.35,15,2,9758.714483,9345.394545,14532.38308,0.257114593
691,85.93938895,85.93882981,85.94417022,1105.67,1094.57,1109.1,10,2,9112.333448,5448.072222,7481.910526,0.249859591
692,85.93907389,85.93896517,85.94421161,1037.035,1026.77,1047.57,10,2,4925.517692,3072.784,3592.566154,0.247344545
693,85.9389363,85.93882516,85.94416213,1086.19,1077.53,1094.36,7,2,7472.530435,4753.571429,7810.823793,0.250937567
694,85.93902877,85.9389728,85.94420436,1063.81,1058.15,1071.46,7,2,10056.49615,7405.693704,12668.99242,0.262021507
695,85.93940656,85.93894904,85.94159471,1372.22,1365.89,1376.31,6,3,20984.13659,19606.755,17658.12706,0.086069817
696,85.9391952,85.93914514,85.94410837,1010.52,1010.49,1011.4,3,2,7548.686001,13288.78,8403.16,0.317741844
697,85.93897816,85.93893876,85.93901756,994.025,994.025,994.025,2,1,6181.22945,6818.282917,10782.78824,0.314507877
698,85.93899634,85.93898758,85.93900509,951.478,951.038,951.918,2,1,13989.13488,14549.17253,12106.03131,0.094469742
699,85.94210588,85.94087862,85.94333314,406.347,404.668,408.026,2,2,2431.9036,3203.8149,1690.710353,0.30981161
700,85.94343743,85.94343743,85.94343743,519.407,519.407,519.407,1,1,2782.030238,3672.274714,3953.224439,0.176249738
701,85.9436867,85.9436867,85.9436867,531.25,531.25,531.25,1,1,1321.312432,2276.675543,2654.714209,0.329720963
702,85.94225923,85.94225923,85.94225923,507.458,507.458,507.458,1,1,1407.066852,1470.194357,1417.654896,0.023614377
704,85.94223746,85.94220401,85.94231418,1773.45,1771.69,1777.36,3,3,969.7819355,852.1917857,1572.7758,0.341628664
705,85.94147358,85.94092541,85.94202174,37.254,36.454,38.054,2,2,1553.649431,2056.9968,1799.185556,0.139578441
706,85.93904823,85.93904823,85.93904823,974.516,974.516,974.516,1,1,5473.803467,5776.78845,8834.28,0.27765541
707,85.94629212,85.9462421,85.94811013,1743.21,1742.65,1743.6,5,3,2672.363077,4922.19,3501.162963,0.307640464
708,86.05465481,86.05453769,86.05473326,47.7415,47.009,48.114,4,3,3399.633684,3691.015111,4279.08005,0.118204963
709,86.0611423,86.0559179,86.06427051,48.114,47.009,49.014,13,3,10586.54893,6409.222774,6317.857724,0.313797103
713,86.09787726,86.09517714,86.1005731,290.934,290.359,291.214,8,3,6985.819304,6153.784,3805.555942,0.291989437
714,86.93759553,86.93759553,86.93759553,1743.21,1743.21,1743.21,1,1,1845.56,2210.141786,2358.671836,0.123485806
715,87.04363505,87.04278593,87.04410218,49.3265,48.279,49.914,4,3,8465.310621,7579.215172,6697.310286,0.116613407
716,87.04399476,87.04387362,87.04411589,87.3585,86.691,88.026,2,2,1674.662222,1773.573167,2481.348571,0.222600343
718,87.0671519,87.06637697,87.06805071,47.889,47.369,48.114,6,3,4079.66963,7626.347368,5168.471421,0.323004556
719,87.10136667,87.10055483,87.10199959,75.6745,75.117,76.727,4,3,2294.1856,2084.47625,3165.261294,0.227916019
720,87.92146491,87.92080865,87.92422403,1775.68,1765.28,1785.07,33,3,9059.161364,16012.50133,10673.92,0.305413953
721,87.92141602,87.9207996,87.92422406,1794.81,1786.17,1799.76,27,3,9343.783913,17019.32917,14234.44591,0.287131864
723,87.92335549,87.92071838,87.92410747,32.247,30.497,36.038,8,3,37911.75441,75071.6505,76824.51327,0.347368534
730,87.92807431,87.92663467,87.92873357,68.413,61.778,68.413,3,2,23090.23428,27901.40657,27098.6736,0.09901786
731,87.93610313,87.92826514,87.93730638,1237.01,1230.19,1245.73,3,3,2712.590571,4247.430682,2824.078,0.262397428
733,87.93719847,87.93719847,87.93719847,1108.91,1108.91,1108.91,1,1,2731.42125,5250.679091,5843.482266,0.35855757
734,87.93857968,87.93731758,87.94038206,1743.55,1742.25,1743.6,8,3,5876.543284,6831.692857,2954.662857,0.386890949
737,87.93853952,87.93853952,87.93853952,1378.69,1378.69,1378.69,1,1,8178.199071,8051.021951,7376.321339,0.054771262
740,88.02127953,88.02127953,88.02127953,48.114,48.114,48.114,1,1,3161.590353,3375.587704,3005.1318,0.058467353
741,88.03966661,88.03775788,88.04186687,49.179,48.769,51.714,7,3,2238.871385,2530.656,3923.7432,0.310732756
742,88.07497082,88.07497082,88.07497082,1712.9,1712.9,1712.9,1,1,1366.481486,1524.5745,1458.152414,0.054756057
743,88.07692768,88.07692768,88.07692768,1322.61,1322.61,1322.61,1,1,2008.624414,2217.76069,2215.249619,0.055898808
744,88.07625114,88.07625114,88.07625114,226.133,226.133,226.133,1,1,2290.695638,2276.54724,2377.060778,0.023505198
745,88.07612828,88.07612828,88.07612828,1711.18,1711.18,1711.18,1,1,1514.518477,1524.5745,1295.261379,0.089694084
747,88.93219032,88.93017302,88.9342256,1796.57,1790.69,1799.73,13,3,1736.603824,2336.391765,1806.95625,0.167282576
749,88.93066627,88.93066627,88.93066627,529.574,529.574,529.574,1,1,1859.488578,1636.512264,2560.833164,0.238912173
750,88.93227645,88.93227645,88.93227645,576.412,576.412,576.412,1,1,2004.385862,2261.22968,2059.665357,0.064117351
751,88.93213081,88.93213081,88.93213081,757.355,757.355,757.355,1,1,3143.69703,3468.582,2990.516144,0.07626467
752,88.93202945,88.93202945,88.93202945,503.075,503.075,503.075,1,1,2248.140972,2603.040033,2928.551119,0.131229775
753,88.93199915,88.93199915,88.93199915,452.597,452.597,452.597,1,1,2837.460327,2498.995745,2341.886152,0.098949979
754,88.93352563,88.93352563,88.93352563,710.973,710.973,710.973,1,1,5356.053654,4915.910367,5380.566583,0.050115959
755,88.93214241,88.92555299,88.93475936,1779.62,1771.04,1789.76,25,3,2075.815111,3447.153846,3178.069697,0.250531939
756,88.9372309,88.93612606,88.93892849,1744.305,1742.25,1744.54,6,3,13016.2824,7725.09125,13214.4948,0.275092414
757,88.98229477,88.98229477,88.98229477,1747.98,1747.98,1747.98,1,1,3614.130909,2685.813947,2771.956105,0.169614476
758,89.93986633,89.93725638,89.94393257,1786.02,1769.3,1799.73,61,3,4976.52,3365.505,4350.92,0.191959435
759,89.93960843,89.93727865,89.94395841,1761.53,1757.95,1764.21,14,3,29292.32133,40432.90179,36131.97143,0.159222822
762,89.939934,89.93922497,89.94064302,324.785,322.665,326.905,2,1,3682.176,2103.095833,2061.46998,0.35324209
763,89.94524939,89.94524939,89.94524939,1764.42,1764.42,1764.42,1,1,26012.04665,17541.67,30525.81882,0.26694749
764,90.03691637,90.03485424,90.03825736,49.639,48.769,50.814,5,3,1921.535235,2337.255439,2504.57772,0.133163221
765,90.05701396,90.05546726,90.05750547,47.009,46.459,48.114,3,3,3473.487655,3831.723333,3020.863,0.118053993
766,90.48962196,90.48801585,90.4939335,1743.55,1742.25,1744.54,12,3,5256.16,4647.970833,4551.106957,0.079316902
767,90.93432594,90.93403208,90.93464674,1741.52,1741.29,1742.66,4,3,4639.720714,5126.2,4042.182941,0.117964614
